step,current_time,current_time_norm,queue_length_norm,avg_waiting_time_norm,max_lateness_risk_norm,urgent_jobs_norm,energy_tariff_norm,energy_tariff,action_type,oven_id,num_panels,reward,action_validation_reward,launch_reward,heating_reward,wait_reward,energy_cost_penalty,lateness_penalty,completion_reward,queue_length,completed_jobs,total_reward,total_energy_cost,total_lateness_penalty,late_jobs_count,terminated,truncated,oven_0_busy,oven_0_heating,oven_0_cooling,oven_0_time_to_completion,oven_0_time_to_ready,oven_0_temperature,oven_1_busy,oven_1_heating,oven_1_cooling,oven_1_time_to_completion,oven_1_time_to_ready,oven_1_temperature
47,47.0,0.03263889,0.31852078,0.42023697,0.9950548,0.73978305,0.33333334,0.5,0,0,0,-0.6095110634445379,0.0,0.0,0.0,0.0,0.0,-0.6095110634445379,0.0,34,0,-9.614311163215179,0.0,9.614311163215179,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,48.000004,0.033333335,0.3274774,0.42270455,0.9950548,0.73978305,0.33333334,0.5,0,0,0,-0.630036325042664,0.0,0.0,0.0,0.0,0.0,-0.630036325042664,0.0,35,0,-10.244347488257842,0.0,10.244347488257842,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,49.0,0.034027778,0.33637553,0.4254155,0.9950548,0.73978305,0.33333334,0.5,0,0,0,-0.6497175150692485,0.0,0.0,0.0,0.0,0.0,-0.6497175150692485,0.0,36,0,-10.894065003327091,0.0,10.894065003327091,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,50.000004,0.034722224,0.34521404,0.4283469,0.9950548,0.7615942,0.33333334,0.5,0,0,0,-0.6685645975525045,0.0,0.0,0.0,0.0,0.0,-0.6685645975525045,0.0,36,0,-11.562629600879596,0.0,11.562629600879596,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,51.0,0.035416666,0.34521404,0.44185784,0.9950548,0.7615942,0.33333334,0.5,0,0,0,-0.686590257242827,0.0,0.0,0.0,0.0,0.0,-0.686590257242827,0.0,36,0,-12.249219858122423,0.0,12.249219858122423,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,52.000004,0.036111113,0.34521404,0.4551713,0.9950548,0.7615942,0.33333334,0.5,0,0,0,-0.7038095866801425,0.0,0.0,0.0,0.0,0.0,-0.7038095866801425,0.0,36,0,-12.953029444802565,0.0,12.953029444802565,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,53.0,0.036805555,0.34521404,0.46828425,0.9950548,0.7615942,0.33333334,0.5,0,0,0,-0.725156572217142,0.0,0.0,0.0,0.0,0.0,-0.725156572217142,0.0,37,0,-13.678186017019707,0.0,13.678186017019707,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,54.000004,0.0375,0.35399172,0.47022593,0.9950548,0.78180635,0.33333334,0.5,0,0,0,-0.7480160867252473,0.0,0.0,0.0,0.0,0.0,-0.7480160867252473,0.0,37,0,-14.426202103744954,0.0,14.426202103744954,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,55.0,0.038194444,0.35399172,0.48310527,0.9950548,0.800499,0.33333334,0.5,0,0,0,-0.7782673919057045,0.0,0.0,0.0,0.0,0.0,-0.7782673919057045,0.0,38,0,-15.204469495650658,0.0,15.204469495650658,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,56.000004,0.03888889,0.36270747,0.4849116,0.9950548,0.800499,0.33333334,0.5,0,0,0,-0.8115247377208634,0.0,0.0,0.0,0.0,0.0,-0.8115247377208634,0.0,38,0,-16.015994233371522,0.0,16.015994233371522,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
